Country/Region,Year,Value
India,1995,17
India,2005,20
India,2018,29
Israel,1995,122
Israel,2005,117
Israel,2018,112
Italy,1995,117
Italy,2005,133
Italy,2018,104
United Kingdom,1995,156
United Kingdom,2005,155
United Kingdom,2018,109
United States of America,1995,325
United States of America,2005,328
United States of America,2018,286
