Country/Region,Year,Value
India,1995,"16,262"
India,2005,"22,706"
India,2018,"39,184"
Israel,1995,652
Israel,2005,773
Israel,2018,935
Italy,1995,"6,668"
Italy,2005,"7,797"
Italy,2018,"6,289"
United Kingdom,1995,"9,037"
United Kingdom,2005,"9,318"
United Kingdom,2018,"7,304"
United States of America,1995,"86,648"
United States of America,2005,"97,271"
United States of America,2018,"93,400"
